period_type,hour,crime_count,is_peak,month,display,year,pct_change,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TIME_BLOCK,OCC_DOW,MCI_CATEGORY,count
yearly,,9373.0,,,,2026.0,-77.21737439537202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dow_hour_df,,,,,,,,4682.0,2342.0,2312.0,2152.0,1662.0,1307.0,1126.0,1501.0,2059.0,2336.0,2312.0,2400.0,3733.0,2536.0,2738.0,3300.0,3047.0,3087.0,3606.0,3479.0,3604.0,3492.0,3503.0,3138.0,,,,
dow_hour_df,,,,,,,,4255.0,2078.0,2048.0,1832.0,1543.0,1249.0,1098.0,1433.0,2127.0,2305.0,2418.0,2464.0,3807.0,2587.0,2797.0,3253.0,3030.0,3366.0,3558.0,3527.0,3704.0,3576.0,3570.0,3155.0,,,,
dow_hour_df,,,,,,,,4450.0,2277.0,2093.0,1798.0,1572.0,1255.0,1111.0,1526.0,2124.0,2393.0,2477.0,2493.0,3832.0,2651.0,2851.0,3436.0,3143.0,3415.0,3721.0,3435.0,3559.0,3550.0,3587.0,3321.0,,,,
dow_hour_df,,,,,,,,4365.0,2317.0,2206.0,1974.0,1562.0,1217.0,1175.0,1499.0,2158.0,2341.0,2535.0,2503.0,3707.0,2598.0,2770.0,3312.0,3152.0,3414.0,3569.0,3571.0,3537.0,3675.0,3561.0,3430.0,,,,
dow_hour_df,,,,,,,,4787.0,2489.0,2365.0,2071.0,1760.0,1377.0,1190.0,1417.0,2076.0,2364.0,2350.0,2501.0,3900.0,2780.0,2912.0,3491.0,3426.0,3802.0,4100.0,3736.0,3982.0,3920.0,3757.0,3933.0,,,,
dow_hour_df,,,,,,,,5228.0,3412.0,3631.0,2904.0,2213.0,1572.0,1317.0,1187.0,1422.0,1885.0,1917.0,2105.0,3231.0,2399.0,2657.0,2846.0,3069.0,3301.0,3562.0,3503.0,3557.0,3792.0,3851.0,3967.0,,,,
dow_hour_df,,,,,,,,5394.0,3791.0,3838.0,3083.0,2294.0,1682.0,1302.0,1159.0,1309.0,1710.0,1767.0,2070.0,2911.0,2273.0,2525.0,2740.0,2755.0,3064.0,3339.0,3245.0,3604.0,3574.0,3493.0,3338.0,,,,
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Friday,Crimes Against Person,12573.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Friday,Other Crimes,7011.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Friday,Theft Over,716.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Monday,Crimes Against Person,12490.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Monday,Other Crimes,6478.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Monday,Theft Over,647.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Saturday,Crimes Against Person,11009.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Saturday,Other Crimes,5239.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Saturday,Theft Over,555.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Sunday,Crimes Against Person,10643.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Sunday,Other Crimes,4614.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Sunday,Theft Over,467.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Thursday,Crimes Against Person,12637.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Thursday,Other Crimes,6835.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Thursday,Theft Over,639.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Tuesday,Crimes Against Person,12555.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Tuesday,Other Crimes,6727.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Tuesday,Theft Over,656.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Wednesday,Crimes Against Person,12906.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Wednesday,Other Crimes,6765.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-15h,Wednesday,Theft Over,676.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Friday,Crimes Against Person,18493.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Friday,Other Crimes,11001.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Friday,Theft Over,720.0
